name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
AI for Public Service Curriculum,,https://www.heinz.cmu.edu/media/2024/October/heinz-college-and-noblereach-foundation-create-ai-for-public-service-open-source-curriculum,logos/a0dbb86df153227b7737404ec2e7826930e39c079b61d826fdd4ab57194dc682.svg,,,,,,,,,"In strong partnership with the NobleReach Foundation, CMU will develop, package, and share an open-source curriculum on topics including Introduction to AI, Fundamentals of Operationalizing AI, Responsible AI, and Generative AI.",,,,,,,,,,,,Talent for Service,"Expertise, education, training",,,,,,,,,,,,,,,,,,,,,,,,
Conscience CACHE Challenges,,https://conscience.ca/cache-challenge/,logos/e7575d722e9acf3c38a90b4179d6e376401f52c191ee1b5037ebbf3bc7c50edc.svg,,,,,,,,,"The CACHE (Critical Assessment of Computation Hit-finding Experiments) Challenges offer an open competition platform to help accelerate one of the early stages of drug discovery. Researchers from academia, industry, and nonprofits are invited to deploy their best computational methods to predict molecules that will bind to a predefined target linked to a specific disease, a critical step in the drug discovery pipeline known as hit-finding. Their predictions are evaluated and benchmarked in a state-of-the-art laboratory, by our partners at the Structural Genomics Consortium (SGC). All the benchmarked results are shared openly and publicly with the world, and all chemical structures are made available without patent to all.",,,,,,,,,,,,Technical Prototypes,Data,,,,,,,,,,,,,,,,,,,,,,,,
Conscience CACHE Challenges,,https://conscience.ca/cache-challenge/,logos/e7575d722e9acf3c38a90b4179d6e376401f52c191ee1b5037ebbf3bc7c50edc.svg,,,,,,,,,"The CACHE (Critical Assessment of Computation Hit-finding Experiments) Challenges offer an open competition platform to help accelerate one of the early stages of drug discovery. Researchers from academia, industry, and nonprofits are invited to deploy their best computational methods to predict molecules that will bind to a predefined target linked to a specific disease, a critical step in the drug discovery pipeline known as hit-finding. Their predictions are evaluated and benchmarked in a state-of-the-art laboratory, by our partners at the Structural Genomics Consortium (SGC). All the benchmarked results are shared openly and publicly with the world, and all chemical structures are made available without patent to all.",,,,,,,,,,,,Community Engagement,Data,,,,,,,,,,,,,,,,,,,,,,,,
Conscience Community,,https://conscience.ca/collaborate/join-our-network/,logos/97af4263d58d5c2c645c243cbc5f49fb0980acfddd096a829b3f0c851b48f30d.svg,,,,,,,,,"Conscience is a non-profit focused on addressing market failure in drug development. Based in Canada, and launched in partnership with the Structural Genomics Consortium, the organization is supported with a $49M investment from the Government of Canada, and led by some of the industry’s most respected academics, researchers, industry and community leaders.",,,,,,,,,,,,Technical Prototypes,Model weights,,,,,,,,,,,,,,,,,,,,,,,,
Conscience Community,,https://conscience.ca/collaborate/join-our-network/,logos/97af4263d58d5c2c645c243cbc5f49fb0980acfddd096a829b3f0c851b48f30d.svg,,,,,,,,,"Conscience is a non-profit focused on addressing market failure in drug development. Based in Canada, and launched in partnership with the Structural Genomics Consortium, the organization is supported with a $49M investment from the Government of Canada, and led by some of the industry’s most respected academics, researchers, industry and community leaders.",,,,,,,,,,,,Community Engagement,Model weights,,,,,,,,,,,,,,,,,,,,,,,,
Creative Commons - Community Engagement,,https://creativecommons.org/tag/generative-ai/,logos/a4ce4b30dd0769563a3bdb49f183a05cf6bb82eb8c49d0cb5aecfc0618d97d24.svg,,,,,,,,,"Over the last several years, Creative Commons has convened conversations about sharing in a world of Generative AI. These conversations have ranged from conferences, panels, sector-specific discussions, and invitational workshops. At the intersection of open advocacy and legal infrastructure, Creative Commons amplifies the diverse voices of individuals who want to share and contribute to the public good. This perspective is essential in ensuring that the AI ecosystem strengthens open practices rather than deters from them.",,,,,,,,,,,,Community Engagement,Data,,,,,,,,,,,,,,,,,,,,,,,,
Creative Commons - Policy,,https://creativecommons.org/category/policy/,logos/cc11b8952c8d712dd94da28c98017962986a7e0990549e0dc5dc1d3efd166e44.svg,,,,,,,,,Creative Commons actively monitors policy discussions related to AI legislation and aims to act as a public interest voice in policy discussions. Creative Commons also provides analyses of the AI policy landscape as it relates to the CC licenses.,,,,,,,,,,,,Policy Recommendations,Data,,,,,,,,,,,,,,,,,,,,,,,,
Creative Commons Open Infrastructure of Sharing,,https://creativecommons.org/share-your-work/cclicenses/,logos/df248137053c6bef73c0964cc95495c9aeba3cc021b5ae9a5ed5c9a0524a6bd0.svg,,,,,,,,,"CC serves as the legal layer of the open infrastructure of sharing, which is an essential digital public good. Our goal is to enable a strong and resilient open infrastructure that empowers sharing and access in the public interest. The CC licenses ensure that humans and machines benefit from the commons in ways that serve the public good. The commons that are fostered by open practices and open licenses are also an essential part of ensuring open datasets for a public AI ecosystem.",,,,,,,,,,,,Technical Prototypes,Data,,,,,,,,,,,,,,,,,,,,,,,,
Creative Commons Open Infrastructure of Sharing,,https://creativecommons.org/share-your-work/cclicenses/,logos/df248137053c6bef73c0964cc95495c9aeba3cc021b5ae9a5ed5c9a0524a6bd0.svg,,,,,,,,,"CC serves as the legal layer of the open infrastructure of sharing, which is an essential digital public good. Our goal is to enable a strong and resilient open infrastructure that empowers sharing and access in the public interest. The CC licenses ensure that humans and machines benefit from the commons in ways that serve the public good. The commons that are fostered by open practices and open licenses are also an essential part of ensuring open datasets for a public AI ecosystem.",,,,,,,,,,,,Technical Prototypes,Design/architecture,,,,,,,,,,,,,,,,,,,,,,,,
DARE Analysis Tools,,https://www.cmu.edu/dietrich/ai/education/dare.html,logos/a057e0b05e78ad13e83a0615596f9df5a60e12969d2b76f3517058cbeefe6ebd.svg,,,,,,,,,"The D.A.R.E. system analyzes qualitative datasets to reduce administrative burden and increase efficiency, from surveys to transcripts. It quickly identifies themes, changes, and sentiment, while keeping human experts in the loop for validation. The system incorporates additional data for correlative and longitudinal analysis.",,,,,,,,,,,,Technical Prototypes,Data,,,,,,,,,,,,,,,,,,,,,,,,
Dietrich Analysis Research Education Ecosystem (DARE),,https://www.cmu.edu/dietrich/ai/education/dare.html,logos/a057e0b05e78ad13e83a0615596f9df5a60e12969d2b76f3517058cbeefe6ebd.svg,,,,,,,,,"D.A.R.E., an ongoing open-source project by Dietrich Computing, aims to develop a comprehensive AI system that integrates data sources and leverages LLMs to enhance academic support. The unified API server enables flexible AI applications to address diverse college challenges, democratizing access to advanced capabilities in a controlled environment.",,,,,,,,,,,,Technical Prototypes,Design/architecture,,,,,,,,,,,,,,,,,,,,,,,,
Eva DB,,https://github.com/georgia-tech-db/evadb,logos/38b2ae554053c22c454584e9d6c5c94d9ce2ca2e22244c1f06de89e7c4956b57.svg,,,,,,,,,Tool to use SQL and database semantics to create AI systems,,,,,,,,,,,,Technical Prototypes,Data,,,,,,,,,,,,,,,,,,,,,,,,
Eva DB,,https://github.com/georgia-tech-db/evadb,logos/38b2ae554053c22c454584e9d6c5c94d9ce2ca2e22244c1f06de89e7c4956b57.svg,,,,,,,,,Tool to use SQL and database semantics to create AI systems,,,,,,,,,,,,Technical Prototypes,Compute,,,,,,,,,,,,,,,,,,,,,,,,
Eva DB,,https://github.com/georgia-tech-db/evadb,logos/38b2ae554053c22c454584e9d6c5c94d9ce2ca2e22244c1f06de89e7c4956b57.svg,,,,,,,,,Tool to use SQL and database semantics to create AI systems,,,,,,,,,,,,Technical Prototypes,Model weights,,,,,,,,,,,,,,,,,,,,,,,,
